A01;Q03;Q04;Q04A;Q04B;Q05;Q06A;Q06B;Q08;Q08C;Q09A1;Q09B1;Q10A1;Q10B1;Q19A;B08A;B08B;pm17B
41334;2;1;1; ;1;1;1;1;2;1;1;7;4;16;5;3;0,629715283
41354;2;1;1; ;2;1;2;1;1;1;3;7;8;17;1;1;0,629715283
41355;2;1;1; ;2;1;1;1;1;3;3;8;8; ;1;1;0,629715283
41366;2;1;2; ;1;1;1;1;2;7;1;9;7;16; ;1;0,629715283
41374;2;1;1; ;2;1;1;1;2;3;1;8;5;15;4;4;0,629715283
41378;2;1;1; ;2;1;1;1;1;1;1;3;2;16;2;2;0,629715283
41396;2; ;1; ;1;1;1;1;1;1;3;5;8;16;3;3;0,629715283
41411;2;1;1; ;1;2;1;1;2;1;1;2;5;10;4;4;0,629715283
41416;2;1;1; ;2;1;1;1;1;1;2;7;8;17;1;1;0,629715283
41417;2;1;1; ;2;1;1;1;2;1;1;6;5;13;2;1;0,629715283
41420;2;1;1; ;1;1;1;1;1;1;1;4;4;16;4;4;0,629715283
41446;2;1;1; ;1;1;1;1;1;1;1;2;2;15;3;2;0,629715283
41463;2;1;1; ;1;1;1;1;1;1;4;4;5;9;4;3;0,629715283
41472;2;1;1; ;2;2;2;1;2;1;1;6;6; ;1;1;0,629715283
41477;2;1;1; ;2;2;2;1;1;1;1;3;3;16;2;1;0,629715283
11636;2;1;1; ;1;1;1;1;1;1;1;5;5;16;4;5;0,631334039
24104;2;1;1; ;1;2;2;1;1;1;1;2;6;14;4;1;0,631473403
21431;1; ;2; ;1;1;3;2;1;1;1;7;5;10; ; ;0,632024367
24103;1;1;1; ;1;1;1;1;1;5;3;3;5;14;3;4;0,632024367
24112;1;1;1; ;2;1;2;2;2;1;1;3;6;16;1;1;0,632024367
24121;1;1;2; ;2;1;1;1;1;1;1;6;6;12;5;4;0,632024367
12227;1;1;1; ;2;1;1;1;2;1;2;1;8; ; ; ;0,632277757
4961;2;1;1; ;2;1;1;1;2;1;1;7;7; ; ; ;0,632450559
4974;2;1;1; ;2;1;1;1;1;1;1; ;6;14;2;2;0,632450559
5008;2;1;1; ;1;1;1;1;2;1;1;3;6;15;1;5;0,632450559
5013;2;1;1; ;1;1;1;1;1;1;1;6;6;15;2;2;0,632450559
16506;2;1;1; ;1;1;1;1;1;1;1;7;6;16;3;2;0,632450559
21608;2;1;1; ;2;1;1;1;1;1;1;5;5;15;4;4;0,632450559
21646;2;1;1; ;2;1;2;1;1;1;1;2;4;16;1;1;0,632450559
22860;2;1;2; ;1;2;2;4; ;7;1;9; ;14;1;3;0,632450559
22886;2; ;2; ;2;2;2;1;2; ;1; ; ;10; ;2;0,632450559
33124;2; ;1;2;2;2;2;1;1;1;3;7; ;16;1;1;0,632450559
39046;2;1;1; ;2;2;2;1;1;1;1;1;1;13; ; ;0,632450559
41298;2;1;1; ;1;1;2;1;1;1;1;2;6;16;5;5;0,632450559
41308;2;2; ;3;2;1;1;1;2;1;1; ; ; ;3;1;0,632450559
41338;2;1;1; ;1;1;1;1;1;1;1;4;6;13;3;3;0,632450559
41344;2;1;1; ;1;1;1;1;2;6;1;8;4;15;4;2;0,632450559
41348;2;1;1; ;1;1;1;1;2;1;1;6;6;12; ; ;0,632450559
41384;2;1;1; ;1;1;1;1;2;1;1;7;6;15;3;3;0,632450559
41401;2;1;1; ;2;1;1;2;2;1;1;7;7;16;1;1;0,632450559
41408;2;1;1; ;1;1;1;2;1;1;1;4;6;12;5;5;0,632450559
41438;2; ;2; ;2;1;1;1;1;1;1;6;6;14;4;4;0,632450559
41444;2; ;2; ;1;1;2;1;1;1;2;2;1;14;5;5;0,632450559
